group_feature,group_value,n,accuracy,auc,precision,recall,selection_rate
sex,Female,3259.0,0.9380177968702056,0.9503382789544418,0.8,0.5872576177285319,0.08131328628413624
sex,Male,6510.0,0.8439324116743472,0.913130160757826,0.7872086072922893,0.6661608497723824,0.256989247311828
race,Black,968.0,0.9266528925619835,0.9556596538884423,0.8625,0.5348837209302325,0.08264462809917356
race,White,8312.0,0.8694658325312801,0.927899055799459,0.7876905702992659,0.6630228136882129,0.21306544754571705
race,Asian-Pac-Islander,311.0,0.8392282958199357,0.902652039620833,0.7105263157894737,0.6585365853658537,0.24437299035369775
race,Other,82.0,0.9390243902439024,0.9736111111111111,1.0,0.5,0.06097560975609756
race,Amer-Indian-Eskimo,96.0,0.9270833333333334,0.9267840593141798,1.0,0.46153846153846156,0.0625
